Reactor,Feed1,Feed2,Time,ProdParafPer,ProdEBPer,Admixture,BenzeneConv,Selectivity,t1,t2,t3,t4,t5,t6,PresDrop
1,6.9,165,2016,0.07,14.37,1.93,15.73,91.35,10.3,21.1,10.5,14.2,11.8,10.7,5.53
1,7.8,160,2040,0.06,15.98,2.12,17.6,90.80,12,24.1,13.1,16.4,14.1,11.2,5.36
1,7.8,160,2064,0.05,15.5,1.97,17.12,90.54,11.8,23.7,13.3,16.4,14.3,11,5.38
1,7.8,160,2088,0.05,15.92,2.01,17.52,90.87,10.3,24.6,14,17.7,15.4,11,5.41
1,7.8,160,2112,0.04,15.89,2.02,17.56,90.49,10,24.6,14.3,17.7,14.9,11.5,5.47
1,7.1,160,2136,0.07,14.82,2.06,16.04,92.39,12.5,22.5,11.2,14.6,12.7,10.4,5.34
1,6.9,160,2160,0.1,12.82,1.69,13.81,92.83,11.6,21.6,10.7,14.6,12,10.2,5.29
1,7.1,160,2184,0.07,13.58,1.72,14.58,93.14,10.7,21.5,11.1,15.5,13,11.4,5.38
1,7.1,160,2208,0.07,13.62,1.82,14.73,92.46,10.3,21.6,11.1,14.8,12.8,10.3,5.4
1,7.1,160,2232,0.06,14.31,1.95,15.56,91.97,10.3,22.6,11.3,15.4,12.8,10.7,5.41
1,7.1,160,2256,0.08,12.99,1.54,13.92,93.32,10.1,22.6,11.5,15.5,13,10.4,5.45
1,7.1,160,2280,0.06,13.63,1.6,14.76,92.34,11.4,20,10.9,15.3,12.7,10.6,5.47
1,7,160,2304,0.05,12.52,1.53,13.7,91.39,10.9,21.3,11,15.3,12.4,9.5,5.43
1,7,160,2328,0.05,13.17,1.84,14.1,93.40,10.8,20.8,11,14.8,12.1,10,5.53
1,7,160,2352,0.05,13.24,1.61,14.1,93.90,10.7,21,11.3,14.8,12.4,9.5,5.52
1,7,160,2376,0.08,13.87,1.64,14.39,96.39,11.2,21.1,11.3,14.9,12,9.8,5.48
1,7.1,160,2400,0.05,13.39,1.73,14.49,92.41,11.4,22.1,11.1,14.6,12.8,10.2,5.55
1,7.1,160,2424,0.06,14.17,1.86,15.37,92.19,11.6,22.3,11.6,16.4,13.5,11.8,5.51
1,7.1,160,2448,0.07,13.4,1.67,14.26,93.97,8.7,22.1,12.7,16.8,13.8,10.8,5.4
1,7.1,160,2472,0.07,14.37,1.9,15.51,92.65,9.5,22.1,12.2,16,13.1,10.9,5.45
1,7.2,160,2496,0.07,14.62,1.92,15.95,91.66,9.7,22.5,12.3,15.6,13.1,10.2,5.54
2,7.2,160,2520,0.05,13.15,1.62,14.08,93.39,9.8,23.1,12.6,16.2,13.1,10.4,5.59
2,7.2,160,2544,0.06,13.19,1.71,14.23,92.69,10,22.1,11.9,15.5,12.7,10.2,5.56
2,7.2,160,2568,0.08,11.89,1.44,12.66,93.92,9.7,22,11.8,15.2,12.8,9.6,5.57
2,7.1,160,2592,0.09,13.7,1.78,14.87,92.13,9.9,21.9,11.5,15.1,12.5,9.7,5.56
2,7.1,160,2616,0.09,13.41,1.73,14.58,91.98,9.7,21.8,11.3,15.2,12.4,9.4,5.58
